q1_describe_samp_pop,1,describesample
q2_describe_samp_pop,1,describesample
q3_describe_samp_pop,1,describesample
q4_describe_samp_pop,1,describesample
q1_id_samp_techniq_critiq_validity,1,idsampling
q2_id_samp_techniq_critiq_validity,1,idsampling
q1_id_samp_techniq,1,idsampling
q2_id_samp_techniq,1,idsampling
q3_id_samp_techniq,1,idsampling
q4_id_samp_techniq,1,idsampling
q1_critiq_study_valid,1,identifybiassample
q2_critiq_study_valid,1,identifybiassample
q1_survey_design_critiq_validity,1,identifybiassample
q2_survey_design_critiq_validity,1,identifybiassample
q1_experi_vs_obstudy_critiq_valid,1,experimvsobs
q2_experi_vs_obstudy_critiq_valid,1,experimvsobs
q1_experi_vs_obstudy,1,experimvsobs
q2_experi_vs_obstudy,1,experimvsobs
q3_experi_vs_obstudy,1,experimvsobs
q4_experi_vs_obstudy,1,experimvsobs
q1_critiq_study_valid_m2_2,1,surveydesign
q2_critiq_study_valid_m2_2,1,surveydesign
q1_survey_design,1,surveydesign
q2_survey_design,1,surveydesign
q1_critiq_study_valid_m2,1,lurkingvar
q2_critiq_study_valid_m2,1,lurkingvar
q1_id_lurking_var,1,lurkingvar
q2_id_lurking_var,1,lurkingvar
q1_id_study_design,1,studydesigndefin
q4_id_study_design,1,studydesigndefin
q5_id_study_design,1,studydesigndefin
q1_study_design_def,1,studydesigndefin
q2_study_design_def,1,studydesigndefin
q2_id_study_design,1,idstudydesign
q3_id_study_design,1,idstudydesign
q6_id_study_design,1,idstudydesign
q1_id_study_design_2,1,idstudydesign
q2_id_study_design_2,1,idstudydesign
Post_assessment_q6_id_study_design,1,idstudydesign
Post_assessment_q1_id_study_design_2,1,idstudydesign
Post_assessment_q2_id_study_design_2,1,idstudydesign